=== 延迟检测日志 | 2026-03-25 14:28:59.902475 ===
[2026-03-25 14:28:59.903] [TCP预检开始] 节点总数=5147 | 并发=300
[2026-03-25 14:29:00.221] [TCP预检] ✅ 通过 | 188.114.98.0:2087 | 🇹🇷 土耳其 | TUR
[2026-03-25 14:29:00.222] [TCP预检] ✅ 通过 | 172.64.52.81:443 | 🇺🇸 美国 | USA 8
[2026-03-25 14:29:00.222] [TCP预检] ✅ 通过 | 198.12.144.16:443 | 🇺🇸US_27
[2026-03-25 14:29:00.223] [TCP预检] ✅ 通过 | 104.19.85.38:443 | GOOGLE 10
[2026-03-25 14:29:00.223] [TCP预检] ✅ 通过 | 154.194.0.16:443 | 🇺🇸US_161
[2026-03-25 14:29:00.223] [TCP预检] ✅ 通过 | 168.107.5.23:8443 | 🇰🇷KR_3
[2026-03-25 14:29:00.226] [TCP预检] ✅ 通过 | 31.58.50.225:8443 | AE_434a6_0001
[2026-03-25 14:29:00.227] [TCP预检] ✅ 通过 | 143.110.247.34:443 | 🇮🇳IN印度節點_1
[2026-03-25 14:29:00.228] [TCP预检] ✅ 通过 | 64.120.89.69:20231 | 🇨🇳_CN_中国->🇺🇸_US_美国_1
[2026-03-25 14:29:00.230] [TCP预检] ✅ 通过 | 167.235.224.25:443 | 🇩🇪DE_12
[2026-03-25 14:29:00.233] [TCP预检] ✅ 通过 | 50.62.195.16:443 | 🇺🇸US_243
[2026-03-25 14:29:00.233] [TCP预检] ✅ 通过 | 140.238.50.134:443 | 🇯🇵JP
[2026-03-25 14:29:00.234] [TCP预检] ✅ 通过 | 170.114.45.38:443 | 🇺🇸US
[2026-03-25 14:29:00.241] [TCP预检] ✅ 通过 | 34.143.159.175:443 | 🇸🇬SG新加坡節點
[2026-03-25 14:29:00.241] [TCP预检] ✅ 通过 | 194.87.245.253:443 | CZ_434a6_0006
[2026-03-25 14:29:00.243] [TCP预检] ✅ 通过 | 45.221.98.14:59901 | 🇿🇦 南非 | ZAF
[2026-03-25 14:29:00.243] [TCP预检] ✅ 通过 | 46.246.96.59:8443 | 🇸🇪SE瑞典節點
